"tipo_alquiler","habitaciones","precio_alquiler","neighborhood","Municipio","Departamento","Latitud","Longitud"
"Apartamento","1","450","Col. Libertad","San Salvador","San Salvador","13.7225","-89.2097"
"Habitacion","1","90","Calle San Ernesto por Corvisa","San Salvador","San Salvador","13.6814","-89.2011"
"Habitacion","1","190","Col. Miramonte","San Salvador","San Salvador","13.7079","-89.2142"
"Habitacion","1","200","Res. Buena vista","Santa Tecla","La Libertad","13.6896","-89.2854"
"Apartamento","1","400","Res. Buena vista","Santa Tecla","La Libertad","13.6896","-89.2854"
"Habitacion","1","300","Ciudad Merliot","Santa Tecla","La Libertad","13.6814","-89.2719"
"Habitacion","1","140","Resd. La Gloria por Casa Comunal La Gloria","Mejicanos","San Salvador","13.7409","-89.2185"
"Habitacion","1","150","Zona del Estadio Cuscatlan","San Salvador","San Salvador","13.6812","-89.2234"
"Casa ","2","250","Cuidad Marsella","San Juan Opico","La Libertad","13.7946","-89.3451"
"Apartamento","2","400","Col. Miralvalle","San Salvador","San Salvador","13.7213","-89.2227"
"Apartamento","2","500","Col. Miralvalle","San Salvador","San Salvador","13.7213","-89.2227"
"Habitacion","1","200","Col. San Francisco por el Estadio Cuscatlan","San Salvador","San Salvador","13.6893","-89.2244"
"Habitacion","1","300","Antiguo Cuscatlan","Antiguo Cuscatlán","La Libertad","13.6661","-89.2451"
"Habitacion","1","250","Col. Escalon","San Salvador","San Salvador","13.7075","-89.2447"
"Apartamento","1","225","Pasaje en Calle La Cañada Ciudad Merliot","Antiguo Cuscatlán","La Libertad","13.6804","-89.2594"
"Habitacion","1","550","Colonia San Francisco, ","San Salvador","San Salvador","13.6893","-89.2244"
"Casa ","3","500","Ciudad Marsella","San Juan Opico","La Libertad","13.7946","-89.3451"
"Casa ","2","325","Ciudad Marsella","San Juan Opico","La Libertad","13.7946","-89.3451"
"Casa ","2","275","Urb. Villa Lourdes","Lourdes","La Libertad","13.7187","-89.3714"
"Casa ","4","650","Res. Las Arboledas","Lourdes","La Libertad","13.7317","-89.3604"
"Casa ","2","200","Ciudad Marsella","San Juan Opico","La Libertad","13.7946","-89.3451"
"Casa ","3","635","Res. Quintas de San Agustin","Lourdes","La Libertad","13.7465","-89.3681"
